Country Code,type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BLZ,per1000,8.70823883780759,6.60242278233596,6.26356691908731,7.12191710820043,5.58711922681817,7.91032580941681,4.19852454694239,4.09536133688103,2.55069506440505,1.17912035778933,0.674157303370786,0.315980725175764,0.141497298687934,0.0838444350352356,0.0779256998958257,0.036139063114866,0.0157359507464742,0.0269974236744265,0.0113499648151091,0,0
BMU,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
BOL,per1000,11.9522423513714,5.73652718916076,4.98391974900891,6.82325063244019,4.91110023860374,6.51702063094482,6.0392738138054,4.56579411010484,2.99523868152359,2.97562768261399,4.09301064524967,2.08921960525404,2.13422145946084,2.28027379175911,2.26343230960065,1.88896533976737,1.50055766397339,1.22000188662116,1.4054730545828,2.42267689906547,3.11686663696963
BRA,per1000,21.4404658439761,12.9859222754546,11.1726582881973,12.616781179775,13.8338168110943,17.4221742581074,15.2935606110188,13.8488287415455,8.6114774396422,8.35535330991232,9.81687127679357,7.08369617581565,6.37975394189175,4.84385247493371,3.56159628433083,3.96525816230429,3.1545646350992,5.23608891898746,5.1458446328043,4.1699171933506,3.87250771207187
BRB,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
BRN,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
BTN,per1000,13.5703669829656,13.3916878406967,14.2829565347104,8.19197548003556,5.64818771445132,3.80152894369571,3.8398447617364,1.61176896216713,0.661982486639624,2.1057328926634,0.859501134502071,0.378138893924244,0.157944411271838,0.0285402788956054,0.0357076408713416,0.063122639863061,0.0275147570813813,0.0199377940824627,0.0107478150587637,0.00354177255090855,0.038529436489478
BWA,per1000,17.573263233642,6.93341739659093,3.24119135682305,1.61932334547681,1.03971506510393,1.22909037251667,3.94438912495522,1.03909389725356,1.93460301662641,2.09940639071968,1.69195490245641,0.510412948023946,0.22482197279802,0.529460374571276,1.49706220499281,0.322903686507462,0.918304425948001,1.99737195101514,0.53733904085985,0.168269813115748,1.12822946866101
CAF,per1000,441.964267319631,433.936339876024,434.425028714176,438.873952156365,446.471272004754,444.805837984538,440.10466055135,432.304971600789,422.806086440484,409.576858108692,395.601770325057,385.812011345575,377.724922240072,371.190291246857,362.654790777504,346.442857394032,334.120298839738,328.699399459054,324.667220272696,322.87275148103,335.994470951376
CAN,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
