"Country","iso","2019","2020"
"India","IND",1403000,3038000
"Pakistan","PAK",567000,968000
"Indonesia","IDN",472000,797000
"Philippines","PHL",450000,557000
"Mexico","MEX",348000,454000
"Mozambique","MOZ",97000,186000
"Angola","AGO",399000,482000
"United Republic of Tanzania","TZA",183000,249000
"Argentina","ARG",97000,156000
"Venezuela (Bolivarian Republic of)","VEN",75000,134000
"Mali","MLI",136000,193000
